"TCD","DLOC","TCLOC","scores_ANN"
0,0,1,1.3
0.1,0,3,3.7
0.6,22,22,4.2
0,0,40,4.2
0.7,51,51,3.8
0,1,1,6.2
0,1,3,5.6
0.2,7,7,2.5
0.1,3,3,6.2
0,3,3,6.6
0,5,5,4.2
0.2,21,26,5
0.1,2,4,3.6
0,2,2,3.4
0.4,32,51,2.5
0.4,9,9,3.6
0.3,24,24,3.4
0.2,3,4,2.1
0,3,4,6.7
0.3,3,4,2.1
0.4,32,42,5
0.4,49,49,3
0.1,1,1,2.3
0,1,1,5.3
0.2,3,3,2.5
0.5,22,23,2.5
0.1,4,5,2.5
0.2,3,3,2
0.1,8,21,4.5
0,1,1,2.5
0,0,1,1.5
0.6,5,5,2.8
0.2,0,2,2.9
0.3,12,13,3
0.2,6,6,2.2
0,5,8,3.4
0.1,5,8,6.7
0,0,4,2.1
0.1,3,4,2.5
0,0,3,4.4
0.5,4,4,2.5
0.5,16,16,4
0.5,637,642,5.1
0.1,6,9,2.2
0,0,6,3.6
0.2,16,16,3.6
0.3,15,15,2.4
0.1,0,2,3.9
0.1,0,4,3.5
0.1,13,20,1.7
0.3,8,48,1
0.1,2,43,5
0.2,26,64,5.2
0.1,5,5,3.6
0.1,0,1,2.3
0,1,1,5.2
0.4,40,70,3.3
0.1,0,16,3.6
0.1,7,11,1.5
0.4,83,156,3.5
0,0,0,6.5
0.2,5,9,2.4
0.5,88,88,4.9
0.1,9,60,5.3
0.2,5,5,1.2
0.6,305,315,4.5
0.2,4,4,1.7
0.2,19,29,4.8
0.3,5,5,1.2
0,3,4,3.7
0.3,8,9,4.8
0.4,17,17,3.5
0.4,13,13,3.5
0.1,9,9,3.2
0,10,18,5.4
0.1,3,3,3.5
0,0,4,3.7
0.2,3,3,2.7
0.2,5,5,4.4
0.6,29,29,3.5
0.1,3,3,4.3
0.2,4,33,1.4
0.1,3,4,3.3
0.1,40,41,4.1
0.3,12,22,2.7
0.1,7,17,2.4
0.5,200,226,3.9
0.2,5,7,2.5
0.4,6,6,3.8
0.1,3,3,5.4
0.2,9,13,1.7
0,1,1,1.8
0,1,1,5.7
0.2,15,16,1.8
0.5,96,100,2.7
0.3,6,6,1.2
0.4,183,268,4.2
0,5,9,4.3
0.4,0,8,1.4
0.4,10,12,2.8
0.1,0,40,5
0.3,55,74,3.4
0,1,18,5.2
0.3,31,53,1.5
0.5,45,45,4.5
0,1,1,5.6
0.1,3,6,2.6
0.1,10,16,6.4
0.2,8,15,4.8
0.3,17,17,2.7
0.3,33,33,4.9
0.2,6,6,3.5
0.1,6,12,4.2
0.2,4,4,2.8
0.3,14,14,2.9
0.2,9,43,0.6
0.2,17,24,5.5
0.1,1,1,0.4
0.1,6,7,3.5
0.3,18,18,4.3
0.3,17,20,1.2
0.3,25,26,6.3
0.2,88,97,4.7
0.5,16,16,1.4
0.5,11,11,2.8
0.1,4,5,5.3
0.4,221,431,4.3
0,0,0,6.3
0.2,11,11,2.6
0.2,26,26,4
0,5,5,4.8
0.1,0,1,3.3
0,0,1,5.6
0.1,1,1,0.3
0,3,6,5.6
0.2,4,4,4.3
0.4,4,4,0.3
0.3,0,6,6.3
0.1,2,2,5.4
0.2,13,21,2.8
0.1,3,53,3.4
0,1,1,1.9
0.2,4,6,6
0.4,26,28,4.4
0.3,13,22,2.1
0.3,7,8,4.8
0.1,3,3,2.8
0,8,15,3.3
0.5,102,118,3.5
0.4,49,52,2.8
0.1,3,3,5
0.1,10,37,4.4
0.1,3,3,4.9
0.2,10,14,4.3
0.3,19,19,4.3
0.1,3,3,5.8
0.5,32,32,4.4
0.4,27,27,2.9
0.1,7,14,1.7
0.1,2,24,5.8
0.1,0,4,2.9
0.3,33,37,4.1
0.2,70,122,6.3
0,0,1,5
0.1,4,4,4.6
0,0,1,6.3
0.4,21,21,3.8
0,1,2,3.6
0.1,0,9,5.5
0,1,10,3.9
0.4,54,54,4.2
0,2,4,5.8
0,1,1,1.5
0.7,15,15,4.1
0.1,5,6,8.4
